Date,Minutes de sommeil,Minutes d'éveil,Nombre de réveils,Temps passé au lit
"01-01-2016","0","0","0","0"
"02-01-2016","0","0","0","0"
"03-01-2016","0","0","0","0"
"04-01-2016","0","0","0","0"
"05-01-2016","0","0","0","0"
"06-01-2016","0","0","0","0"
"07-01-2016","0","0","0","0"
"08-01-2016","0","0","0","0"
"09-01-2016","0","0","0","0"
"10-01-2016","0","0","0","0"
"11-01-2016","460","15","13","489"
"12-01-2016","435","18","13","459"
"13-01-2016","461","12","9","482"
"14-01-2016","0","0","0","0"
"15-01-2016","0","0","0","0"
"16-01-2016","428","13","13","467"
"17-01-2016","158","28","17","191"
"18-01-2016","329","11","7","341"
"19-01-2016","418","28","12","446"
"20-01-2016","461","56","26","517"
"21-01-2016","493","66","29","559"
"22-01-2016","364","23","16","387"
"23-01-2016","513","64","24","577"
"24-01-2016","508","27","17","542"
"25-01-2016","455","43","29","502"
"26-01-2016","479","29","16","508"
"27-01-2016","423","19","14","443"
"28-01-2016","405","34","13","440"
"29-01-2016","480","0","0","480"
"30-01-2016","282","20","12","303"
"31-01-2016","483","28","13","511"
"01-02-2016","283","15","7","298"
"02-02-2016","446","12","7","458"
"03-02-2016","0","0","0","0"
"04-02-2016","0","0","0","0"
"05-02-2016","58","4","2","62"
"06-02-2016","195","30","14","225"
"07-02-2016","316","32","15","348"
"08-02-2016","588","52","31","640"
"09-02-2016","519","54","27","574"
"10-02-2016","403","28","22","431"
"11-02-2016","458","35","19","493"
"12-02-2016","543","35","21","579"
"13-02-2016","515","30","15","545"
"14-02-2016","0","0","0","0"
"15-02-2016","517","14","7","531"
"16-02-2016","502","24","13","526"
"17-02-2016","448","72","33","520"
"18-02-2016","412","15","10","428"
"19-02-2016","383","58","17","441"
"20-02-2016","158","20","8","178"
"21-02-2016","414","46","25","460"
"22-02-2016","470","15","11","485"
"23-02-2016","0","0","0","0"
"24-02-2016","293","14","11","308"
"25-02-2016","0","0","0","0"
"26-02-2016","277","16","11","294"
"27-02-2016","276","37","21","314"
"28-02-2016","256","10","5","266"
"29-02-2016","404","20","12","425"
"01-03-2016","0","0","0","0"
"02-03-2016","505","21","12","526"
"03-03-2016","215","16","9","231"
"04-03-2016","452","42","19","495"
"05-03-2016","507","32","19","544"
"06-03-2016","353","33","13","387"
"07-03-2016","459","20","13","482"
"08-03-2016","453","47","27","501"
"09-03-2016","0","0","0","0"
"10-03-2016","0","0","0","0"
"11-03-2016","0","0","0","0"
"12-03-2016","0","0","0","0"
"13-03-2016","0","0","0","0"
"14-03-2016","441","14","11","455"
"15-03-2016","489","47","25","536"
"16-03-2016","449","21","9","479"
"17-03-2016","401","29","15","430"
"18-03-2016","415","32","16","448"
"19-03-2016","540","58","26","598"
"20-03-2016","590","28","15","618"
"21-03-2016","484","45","22","529"
"22-03-2016","354","13","7","367"
"23-03-2016","353","27","14","383"
"24-03-2016","330","40","18","370"
"25-03-2016","350","34","15","384"
"26-03-2016","315","26","15","341"
"27-03-2016","542","24","18","566"
"28-03-2016","567","66","30","633"
"29-03-2016","491","52","25","543"
"30-03-2016","550","33","22","584"
"31-03-2016","508","47","25","555"

